Date,Open,High,Low,Close,Volume
2025-11-03,45.9900016784668,46.4900016784668,45.43000030517578,45.63999938964844,8601484
2025-11-04,46.16999816894531,46.5,45.08000183105469,45.09000015258789,10070450
2025-11-05,43.349998474121094,44.150001525878906,42.81999969482422,44.04999923706055,19017864
2025-11-06,44.5099983215332,45.0099983215332,44.310001373291016,44.81999969482422,7891630
2025-11-07,43.939998626708984,44.029998779296875,43.369998931884766,43.66999816894531,10477801
2025-11-10,44.119998931884766,44.70000076293945,43.720001220703125,44.68000030517578,7443164
2025-11-11,45.02000045776367,45.13999938964844,44.02000045776367,44.029998779296875,6936500
2025-11-12,44.40999984741211,44.79999923706055,44.150001525878906,44.779998779296875,4607151
2025-11-13,44.310001373291016,44.63999938964844,44.0,44.5,4894800
2025-11-14,42.91999816894531,43.31999969482422,42.650001525878906,42.7599983215332,16432532
2025-11-17,43.29999923706055,43.52000045776367,42.93000030517578,42.95000076293945,6735535
2025-11-18,42.040000915527344,42.439998626708984,41.0099983215332,41.150001525878906,16148918
2025-11-19,40.959999084472656,41.31999969482422,40.27000045776367,40.61000061035156,8937151
2025-11-20,42.59000015258789,43.029998779296875,42.189998626708984,43.02000045776367,12977300
2025-11-21,40.63999938964844,40.720001220703125,39.70000076293945,40.099998474121094,24676349
2025-11-24,40.5,40.63999938964844,40.099998474121094,40.20000076293945,7909497
2025-11-25,41.709999084472656,41.72999954223633,40.79999923706055,41.130001068115234,8816135
2025-11-26,42.06999969482422,42.59000015258789,42.06999969482422,42.45000076293945,8352100
2025-11-27,43.150001525878906,43.40999984741211,42.900001525878906,43.279998779296875,9235722
2025-11-28,43.27000045776367,44.06999969482422,43.209999084472656,43.90999984741211,6583381
2025-12-01,43.310001373291016,43.54999923706055,42.810001373291016,42.83000183105469,8449512
