strategy,rebalance_id,execution_date,signal_date,signal_type,target_etf_weight_pct,target_cash_weight_pct,approx_target_exposure_pct,action,etf_close,account_value_before,etf_value_before,cash_before,etf_weight_before_pct,trade_amount,buy_amount,sell_amount,commission,transaction_tax,total_cost,etf_value_after,cash_after,account_value_after,etf_weight_after_pct
macd_rebalance_50_50,1,2014-10-23,2004-01-30,golden_cross,50.0,50.0,100.0,buy,0.8706569763050788,1000000.0,0.0,1000000.0,0.0,499900.26989615575,499900.26989615575,0.0,199.46020768856616,0.0,199.46020768856616,499900.26989615575,499900.2698961557,999800.5397923114,50.000000000000014
macd_rebalance_50_50,2,2014-12-29,2014-12-26,golden_cross,50.0,50.0,100.0,buy,0.8262534505857629,974305.6145857984,474405.34468964266,499900.2698961557,48.69163613424564,12744.919991718167,12744.919991718167,0.0,5.0852230766955495,0.0,5.0852230766955495,487150.2646813608,487150.26468136086,974300.5293627216,50.0
macd_rebalance_50_50,3,2015-05-18,2015-05-15,death_cross,50.0,50.0,100.0,buy,0.8010044015942087,959413.9580685645,472263.6933872037,487150.26468136086,49.22418414027841,7441.801007777541,7441.801007777541,0.0,2.969278602103239,0.0,2.969278602103239,479705.49439498124,479705.4943949812,959410.9887899624,50.000000000000014
macd_rebalance_50_50,4,2015-10-19,2015-10-16,golden_cross,50.0,50.0,100.0,sell,0.8562911395173377,992521.1089043038,512815.61450932256,479705.4943949812,51.667980651358306,16566.6484277459,0.0,16566.6484277459,6.610092722670615,16.5666484277459,23.176741150416515,496248.96608157665,496248.96608157665,992497.9321631533,50.0
macd_rebalance_50_50,5,2016-01-11,2016-01-08,death_cross,50.0,50.0,100.0,buy,0.6839010565482857,892592.1915942038,396343.22551262716,496248.96608157665,44.403617827391365,49942.90667459317,49942.90667459317,0.0,19.92721976316268,0.0,19.92721976316268,446286.1321872203,446286.1321872203,892572.2643744407,50.0
macd_rebalance_50_50,6,2016-02-22,2016-02-19,golden_cross,50.0,50.0,100.0,sell,0.788815257066622,961035.02271138,514748.8905241597,446286.1321872203,53.56192837508588,34255.34077934484,0.0,34255.34077934484,13.667880970958594,34.25534077934484,47.92322175030343,480493.54974481487,480493.54974481487,960987.0994896297,50.0
macd_rebalance_50_50,7,2016-05-16,2016-05-13,death_cross,50.0,50.0,100.0,buy,0.7500709651590686,937386.6655677014,456893.11582288664,480493.54974481487,48.74115800934531,11797.86328723828,11797.86328723828,0.0,4.707347451608075,0.0,4.707347451608075,468690.9791101249,468690.979110125,937381.95822025,49.99999999999999
macd_rebalance_50_50,8,2016-06-04,2016-06-03,golden_cross,50.0,50.0,100.0,sell,0.8567264779693686,1004026.9545586309,535335.975448506,468690.979110125,53.31888481856934,33345.82357277964,0.0,33345.82357277964,13.304983605539078,33.34582357277964,46.65080717831872,501990.1518757263,501990.1518757263,1003980.3037514526,50.0
macd_rebalance_50_50,9,2016-11-07,2016-11-04,death_cross,50.0,50.0,100.0,sell,1.0874505434772868,1139170.7194372462,637180.5675615199,501990.1518757263,55.93372061707213,67642.52378828671,0.0,67642.52378828671,26.9893669915264,67.64252378828671,94.6318907798131,569538.0437732332,569538.0437732332,1139076.0875464664,50.0
macd_rebalance_50_50,10,2017-02-02,2017-01-24,golden_cross,50.0,50.0,100.0,sell,1.1218415338968506,1157087.9203828822,587549.876609649,569538.0437732332,50.778326025150086,9012.220466424189,0.0,9012.220466424189,3.595875966103252,9.01222046642419,12.608096432527441,578537.6561432248,578537.6561432249,1157075.3122864496,50.0
macd_rebalance_50_50,11,2017-04-24,2017-04-21,death_cross,50.0,50.0,100.0,sell,1.203683253135308,1199281.3770400682,620743.7208968432,578537.6561432249,51.759639796032964,21117.804280903652,0.0,21117.804280903652,8.426003908080558,21.117804280903652,29.543808188984208,599625.9166159396,599625.9166159396,1199251.8332318792,50.0
macd_rebalance_50_50,12,2017-05-15,2017-05-12,golden_cross,50.0,50.0,100.0,sell,1.2942315753497426,1244359.3152579353,644733.3986419957,599625.9166159396,51.81247817543384,22569.52839814258,0.0,22569.52839814258,9.005241830858889,22.56952839814258,31.57477022900147,622163.8702438532,622163.8702438531,1244327.7404877064,50.0
macd_rebalance_50_50,13,2017-05-22,2017-05-19,death_cross,50.0,50.0,100.0,buy,1.2781244677861976,1236584.720945426,614420.850701573,622163.8702438531,49.68691916489312,3870.7375589970397,3870.7375589970397,0.0,1.544424286039819,0.0,1.544424286039819,618291.58826057,618291.5882605701,1236583.1765211402,49.999999999999986
