Date,00631L_close,00631L_buy_hold,00631L_buy_hold_drawdown,macd_rebalance_50_50,macd_rebalance_50_50_drawdown,macd_rebalance_50_50_etf_weight,macd_rebalance_50_50_exposure,static_50_50,static_50_50_drawdown,macd_rebalance_60_40,macd_rebalance_60_40_drawdown,macd_rebalance_60_40_etf_weight,macd_rebalance_60_40_exposure,static_60_40,static_60_40_drawdown,macd_rebalance_70_30,macd_rebalance_70_30_drawdown,macd_rebalance_70_30_etf_weight,macd_rebalance_70_30_exposure,static_70_30,static_70_30_drawdown
2014-10-23,0.8706569763050788,0.999601159137504,0.0,0.9998005397923115,0.0,0.5000000000000001,1.0000000000000002,0.9998005397923115,0.0,0.9997606572986427,0.0,0.6000000000000001,1.2000000000000002,0.9997606572986427,0.0,0.9997207779867083,0.0,0.7,1.4,0.9997207779867083,0.0
2014-10-24,0.8706569763050788,0.999601159137504,0.0,0.9998005397923115,0.0,0.5000000000000001,1.0000000000000002,0.9998005397923115,0.0,0.9997606572986427,0.0,0.6000000000000001,1.2000000000000002,0.9997606572986427,0.0,0.9997207779867083,0.0,0.7,1.4,0.9997207779867083,0.0
2014-10-27,0.8706569763050788,0.999601159137504,0.0,0.9998005397923115,0.0,0.5000000000000001,1.0000000000000002,0.9998005397923115,0.0,0.9997606572986427,0.0,0.6000000000000001,1.2000000000000002,0.9997606572986427,0.0,0.9997207779867083,0.0,0.7,1.4,0.9997207779867083,0.0
2014-10-28,0.8706569763050788,0.999601159137504,0.0,0.9998005397923115,0.0,0.5000000000000001,1.0000000000000002,0.9998005397923115,0.0,0.9997606572986427,0.0,0.6000000000000001,1.2000000000000002,0.9997606572986427,0.0,0.9997207779867083,0.0,0.7,1.4,0.9997207779867083,0.0
2014-10-29,0.8706569763050788,0.999601159137504,0.0,0.9998005397923115,0.0,0.5000000000000001,1.0000000000000002,0.9998005397923115,0.0,0.9997606572986427,0.0,0.6000000000000001,1.2000000000000002,0.9997606572986427,0.0,0.9997207779867083,0.0,0.7,1.4,0.9997207779867083,0.0
2014-10-30,0.8702216378530478,0.9991013471184079,-0.0005000114440917303,0.9995505839364588,-0.00025000572204592064,0.49987496587973157,0.9997499317594631,0.9995505839364588,-0.00025000572204592064,0.9994607222366414,-0.00030000686645503816,0.5998799612409662,1.1997599224819324,0.9994607222366414,-0.00030000686645503816,0.9993708677057855,-0.0003500080108642667,0.6998949608321905,1.399789921664381,0.9993708677057855,-0.0003500080108642667
2014-10-31,0.8793635792810575,1.0095972088606373,0.0,1.004799561560955,0.0,0.5024875716311409,1.0049751432622818,1.004799561560955,0.0,1.00575924412514,0.0,0.6023856949310828,1.2047713898621657,1.00575924412514,0.0,1.0067188501280402,0.0,0.7020854100845857,1.4041708201691714,1.0067188501280402,0.0
2014-11-03,0.8863288284489124,1.0175940105073855,0.0,1.0087987599061878,0.0,0.5044598687426585,1.008919737485317,1.0087987599061878,0.0,1.0105580907036322,0.0,0.6042738496695313,1.2085476993390627,1.0105580907036322,0.0,1.0123172811456806,0.0,0.7037329708956611,1.4074659417913222,1.0123172811456806,0.0
2014-11-04,0.8911173853566129,1.023091752058653,0.0,1.0115481789721572,0.0,0.5058067620623778,1.0116135241247557,1.0115481789721572,0.0,1.0138572619721185,0.0,0.6055615736858484,1.2111231473716968,1.0138572619721185,0.0,1.0161661607587074,0.0,0.7048551260828406,1.4097102521656812,1.0161661607587074,0.0
2014-11-05,0.8837167977367271,1.0145951383928085,-0.00830484035155965,1.007299024771072,-0.004200644407667209,0.5037220749719601,1.0074441499439202,1.007299024771072,-0.004200644407667209,1.008758480331625,-0.00502909219250014,0.603567880006332,1.207135760012664,1.008758480331625,-0.00502909219250014,1.010217819460144,-0.005853709293096365,0.7031172608336225,1.406234521667245,1.010217819460144,-0.005853709293096365
2014-11-06,0.8710923147571097,1.0001009711566002,-0.022471866140833407,1.0000504956481642,-0.011366421850194097,0.5001249716174035,1.000249943234807,1.0000504956481642,-0.011366421850194097,1.0000605923606438,-0.013608098623900777,0.6001199667557316,1.2002399335114633,1.0000605923606438,-0.013608098623900777,1.0000706882676311,-0.015839410042013835,0.7001049656644358,1.4002099313288716,1.0000706882676311,-0.015839410042013835
2014-11-07,0.8763162101168411,1.006098524726964,-0.0166096807031193,1.0030498705699864,-0.00840128881533464,0.501619725435899,1.003239450871798,1.0030498705699864,-0.00840128881533464,1.0036596986911313,-0.01005818438500039,0.601553929642716,1.203107859285432,1.0036596986911313,-0.01005818438500039,1.0042694781615806,-0.011707418586192841,0.7013588086486106,1.402717617297221,1.0042694781615806,-0.011707418586192841
2014-11-10,0.9028712744644882,1.0365863905860642,0.0,1.0182968440575646,0.0,0.5090819805507556,1.0181639611015112,1.0182968440575646,0.0,1.0219553370258607,0.0,0.6086871427441478,1.2173742854882956,1.0219553370258607,0.0,1.0256135381279368,0.0,0.7075738353225594,1.4151476706451187,1.0256135381279368,0.0
2014-11-11,0.9006946652366534,1.0340874258199786,-0.002410763626438106,1.017047112452506,-0.0012272763215869231,0.5084787481568117,1.0169574963136234,1.017047112452506,-0.0012272763215869231,1.0204557189226182,-0.0014674008236081892,0.6081120860965238,1.2162241721930476,1.0204557189226182,-0.0014674008236081892,1.0238640534618848,-0.0017057932652149166,0.7070741644049939,1.4141483288099879,1.0238640534618848,-0.0017057932652149166
2014-11-12,0.8750102777930681,1.0045991839990707,-0.030858215849147497,1.002300050676633,-0.015709361640746877,0.5012468875376364,1.0024937750752727,1.002300050676633,-0.015709361640746877,1.0027599507118914,-0.018782999235399833,0.601196415317991,1.202392830635982,1.0027599507118914,-0.018782999235399833,1.0032198140573743,-0.021834466139592834,0.7010463417951788,1.4020926835903575,1.0032198140573743,-0.021834466139592834
2014-11-13,0.8837167977367271,1.0145951383928085,-0.02121506937865769,1.007299024771072,-0.010800209536808603,0.5037220749719601,1.0074441499439202,1.007299024771072,-0.010800209536808603,1.008758480331625,-0.012913339963213977,0.603567880006332,1.207135760012664,1.008758480331625,-0.012913339963213977,1.010217819460144,-0.01501122800689092,0.7031172608336225,1.406234521667245,1.010217819460144,-0.01501122800689092
2014-11-14,0.8845874746407889,1.0155947624310009,-0.02025072714218734,1.0077989364827773,-0.010309280281137645,0.5039682502138673,1.0079365004277345,1.0077989364827773,-0.010309280281137645,1.0093583504556274,-0.012326357242669395,0.6038034829365221,1.2076069658730442,1.0093583504556274,-0.012326357242669395,1.0109176400219897,-0.014328884672068276,0.7033227816763701,1.4066455633527402,1.0109176400219897,-0.014328884672068276
2014-11-17,0.8732689239849445,1.0025999359226858,-0.032786900322088086,1.0013002272532225,-0.016691220152088793,0.5007488700292345,1.001497740058469,1.0013002272532225,-0.016691220152088793,1.0015602104638863,-0.019956964676488886,0.6007186999429263,1.2014373998858525,1.0015602104638863,-0.019956964676488886,1.001820172933683,-0.023199152809238344,0.7006286741883506,1.4012573483767012,1.001820172933683,-0.023199152809238344
2014-11-18,0.8663036748170897,0.9946031342759378,-0.04050145428437468,0.9973010289079899,-0.0206185605622754,0.4987468623756168,0.9974937247512335,0.9973010289079899,-0.0206185605622754,0.9967613638853942,-0.024652714485338678,0.598796384562276,1.197592769124552,0.9967613638853942,-0.024652714485338678,0.9962217419160427,-0.02865776934413622,0.6989463080587051,1.3978926161174101,0.9962217419160427,-0.02865776934413622
2014-11-19,0.8871994223206546,1.0185935392161827,-0.017357792397514116,1.0092986239436883,-0.008836539331715354,0.5047052893593893,1.0094105787187786,1.0092986239436883,-0.008836539331715354,1.011157903620871,-0.01056546505878897,0.6045085920928537,1.2090171841857074,1.011157903620871,-0.01056546505878897,1.0130170349689642,-0.012281919739441927,0.7039376209451393,1.4078752418902787,1.0130170349689642,-0.012281919739441927
2014-11-20,0.9102718620843742,1.0450830042519088,0.0,1.02254599825865,0.0,0.5111219732437824,1.0222439464875648,1.02254599825865,0.0,1.0270541186663544,0.0,0.6106298045532997,1.2212596091065995,1.0270541186663544,0.0,1.0315618794265,0.0,0.7092600653653933,1.4185201307307866,1.0315618794265,0.0
2014-11-21,0.8480198749933899,0.9736115061208741,-0.06838834603591648,0.9868031213332022,-0.034954786372756175,0.49341438115763697,0.9868287623152739,0.9868031213332022,-0.034954786372756175,0.9841643773151605,-0.04175996237363511,0.5936611076999031,1.1873222153998062,0.9841643773151605,-0.04175996237363511,0.9815258438100953,-0.04850512277966523,0.6944387809170718,1.3888775618341436,0.9815258438100953,-0.04850512277966523
2014-11-24,0.8475845365413589,0.9731116941017778,-0.06886659706197162,0.9865531654773494,-0.0351992309808995,0.4932860312152807,0.9865720624305614,0.9865531654773494,-0.0351992309808995,0.9838644422531592,-0.04205199670420268,0.5935372336420334,1.1870744672840667,0.9838644422531592,-0.04205199670420268,0.9811759335291724,-0.048844327133666265,0.6943298106413498,1.3886596212826996,0.9811759335291724,-0.048844327133666265
2014-11-25,0.8467139426696169,0.9721121653929807,-0.06982300789702545,0.986053301439849,-0.03568807357414372,0.49302916062834107,0.9860583212566821,0.986053301439849,-0.03568807357414372,0.9832646293359204,-0.0426360096654842,0.5932892824696184,1.1865785649392369,0.9832646293359204,-0.0426360096654842,0.980476179705889,-0.0495226711450526,0.6941116575764464,1.3882233151528929,0.980476179705889,-0.0495226711450526
2014-11-26,0.8480198749933899,0.9736115061208741,-0.06838834603591648,0.9868031213332022,-0.034954786372756175,0.49341438115763697,0.9868287623152739,0.9868031213332022,-0.034954786372756175,0.9841643773151605,-0.04175996237363511,0.5936611076999031,1.1873222153998062,0.9841643773151605,-0.04175996237363511,0.9815258438100953,-0.04850512277966523,0.6944387809170718,1.3888775618341436,0.9815258438100953,-0.04850512277966523
2014-11-27,0.8414899642775657,0.9661145164932218,-0.07556192899262981,0.983053878843822,-0.0386213622488194,0.4914823280244897,0.9829646560489794,0.983053878843822,-0.0386213622488194,0.9796654657986693,-0.046140365932439975,0.591795080177256,1.183590160354512,0.9796654657986693,-0.046140365932439975,0.9762773230733774,-0.053593058696447815,0.6927960669496461,1.3855921338992923,0.9762773230733774,-0.053593058696447815
2014-11-28,0.8419253027295966,0.966614328512318,-0.07508367796657478,0.9833038346996748,-0.0383769176406763,0.49161159322760334,0.9832231864552067,0.9833038346996748,-0.0383769176406763,0.9799654008606706,-0.045848331601872405,0.5919200182289758,1.1838400364579516,0.9799654008606706,-0.045848331601872405,0.9766272333543002,-0.053253854342447005,0.6929061333197442,1.3858122666394883,0.9766272333543002,-0.053253854342447005
2014-12-01,0.8467139426696169,0.9721121653929807,-0.06982300789702545,0.986053301439849,-0.03568807357414372,0.49302916062834107,0.9860583212566821,0.986053301439849,-0.03568807357414372,0.9832646293359204,-0.0426360096654842,0.5932892824696184,1.1865785649392369,0.9832646293359204,-0.0426360096654842,0.980476179705889,-0.0495226711450526,0.6941116575764464,1.3882233151528929,0.980476179705889,-0.0495226711450526
2014-12-02,0.8541145302895029,0.9806087790588254,-0.06169292288820194,0.9903024556409347,-0.03153260848179418,0.49520445289352055,0.9904089057870411,0.9903024556409347,-0.03153260848179418,0.9883634109764141,-0.03767153744554452,0.5953874268530565,1.190774853706113,0.9883634109764141,-0.03767153744554452,0.9864245210044524,-0.043756326520268174,0.695956226746457,1.391912453492914,0.9864245210044524,-0.043756326520268174
