id,event,execution_start,execution_end,support_calendar_days_reported,entry_date,entry_close,exit_date,exit_close,matched_trade_date,close,sma200,distance_from_sma200,peak_252_date,peak_252_close,drawdown_from_252d_peak,lowest_date,lowest_close,max_drawdown_after_entry,trading_days_to_lowest,calendar_days_to_lowest,lowest_date_after_entry,lowest_close_after_entry,breakeven_before_exit,breakeven_date,breakeven_close,trading_days_to_breakeven,calendar_days_to_breakeven,return_to_exit,trading_days_to_exit,calendar_days_to_exit,holding_calendar_days_inclusive,recovered_to_sma200,recovery_date,recovery_close,recovery_sma200,trading_days_to_recovery,calendar_days_to_recovery,return_to_recovery
NSF01,政黨輪替與台海局勢,2000-03-15,2000-03-19,5,2000-03-15,8639.990234375,2000-03-20,8536.009765625,2000-03-15,8639.990234375,8194.146955566406,0.05440996863080727,2000-02-17,10202.1533203125,-0.15312091838761444,2000-03-20,8536.009765625,-0.012034790078385038,3,5,2000-03-20,8536.009765625,False,,,,,-0.012034790078385038,3,5,6,True,2000-03-15,8639.990234375,8194.146955566406,0.0,0.0,0.0
NSF02,網路泡沫、以巴衝突,2000-10-02,2000-11-13,43,2000-10-02,6024.0419921875,2000-11-13,5793.494140625,2000-10-02,6024.0419921875,8595.419631347657,-0.29915673107829366,2000-02-17,10202.1533203125,-0.4095323013629265,2000-10-19,5081.25634765625,-0.15650383011173163,12,17,2000-10-19,5081.25634765625,True,2000-11-08,6067.912109375,26.0,37.0,-0.03827128892220444,29,42,43,False,,,,,,
NSF03,319槍擊案,2004-05-19,2004-05-30,12,2004-05-19,5860.55322265625,2004-05-31,5977.8125,2004-05-19,5860.55322265625,6089.528957519531,-0.03760155119724573,2004-03-04,7034.068359375,-0.1668330583046851,2004-05-20,5815.3037109375,-0.007721030762730785,1,1,2004-05-20,5815.3037109375,True,2004-05-21,5964.91259765625,2.0,2.0,0.020008226679085306,8,12,13,True,2004-05-28,6137.23193359375,6114.124392089844,7.0,9.0,0.047210340120773964
NSF04,金融海嘯,2008-09-19,2008-12-17,90,2008-09-19,5970.3525390625,2008-12-17,4647.9990234375,2008-09-19,5970.3525390625,7956.848540039063,-0.24965864198375332,2007-10-29,9809.8349609375,-0.39139113320088625,2008-11-20,4089.9111328125,-0.31496321095726754,42,62,2008-11-20,4089.9111328125,False,,,,,-0.22148667218111107,61,89,90,False,,,,,,
NSF05,歐債危機,2011-12-20,2012-04-17,120,2011-12-20,6662.609375,2012-04-17,7585.8349609375,2011-12-20,6662.609375,8063.26861328125,-0.1737086168720935,2011-01-28,9145.3076171875,-0.27147236004632247,2011-12-20,6662.609375,0.0,0,0,2011-12-20,6662.609375,True,2011-12-21,6966.4482421875,1.0,1.0,0.1385681696126002,74,119,120,True,2012-02-09,7910.74267578125,7867.7889477539065,29.0,51.0,0.1873340054220498
NSF06,中國股災、人民幣貶值,2015-08-25,2016-04-12,232,2015-08-25,7675.60498046875,2016-04-12,8531.15234375,2015-08-25,7675.60498046875,9244.127561035157,-0.16967773001942044,2015-04-27,9973.07421875,-0.23036720552644285,2016-01-21,7663.974609375,-0.0015152383588452611,103,149,2016-01-21,7663.974609375,True,2016-01-22,7756.14453125,104.0,150.0,0.11146318309218173,151,231,232,True,2016-03-03,8611.7626953125,8564.707961425782,125.0,191.0,0.12196533266444609
NSF07,新冠肺炎疫情,2020-03-19,2020-10-11,207,2020-03-19,8681.33984375,2020-10-12,12955.91015625,2020-03-19,8681.33984375,11116.029350585937,-0.2190251060022257,2020-01-14,12179.8095703125,-0.28723517443899893,2020-03-19,8681.33984375,0.0,0,0,2020-03-19,8681.33984375,True,2020-03-20,9234.08984375,1.0,1.0,0.4923860129237323,139,207,208,True,2020-06-01,11079.01953125,11052.713881835938,49.0,74.0,0.2761877464371094
NSF08,美國聯準會激進升息,2022-07-13,2023-04-13,275,2022-07-13,14324.6796875,2023-04-13,15804.759765625,2022-07-13,14324.6796875,17046.182739257812,-0.1596546918091004,2022-01-04,18526.349609375,-0.22679426926871793,2022-10-25,12666.1201171875,-0.11578336175710735,72,104,2022-10-25,12666.1201171875,True,2022-11-15,14546.3095703125,87.0,125.0,0.10332378178176982,180,274,275,True,2023-01-17,14932.9296875,14928.10572265625,131.0,188.0,0.04246168244381554
NSF09,關稅衝擊,2025-04-09,2026-01-12,279,2025-04-09,17391.759765625,2026-01-12,30567.2890625,2025-04-09,17391.759765625,22626.17560546875,-0.23134337552735118,2024-07-11,24390.029296875,-0.28693157544286596,2025-04-09,17391.759765625,0.0,0,0,2025-04-09,17391.759765625,True,2025-04-10,19000.029296875,1.0,1.0,0.757573096364669,190,278,279,True,2025-06-10,22242.140625,22201.005869140627,42.0,62.0,0.27888959626511345
